Card Name,Card Description,Category
input_ips,"<mark>input_ips</mark>, input_size =  load_array(args.input_file)",Unique device ID
pings,"(<mark>pings</mark>, trace, scans) = self.result
if <mark>pings</mark>:
    ret.append(str(<mark>pings</mark>))
if trace and trace != self.trace:
    self.trace = trace
    ret.append(utils.traceToStr(trace))
if scans:
    ret.append(str(scans))",Unique device ID
gdf_mask,<mark>gdf_mask</mark> = gdf.astype('int').as_matrix(),Unique device ID
addrinfo,"<mark>addrinfo</mark> = utils.getaddr(host)
if not <mark>addrinfo</mark>:
	utils.error(Exception(""Unable to resolve host ( %s )"" % host))
	sys.stderr.flush()
	continue
conf = {""HOSTS"": {host: <mark>addrinfo</mark>}}",Unique device ID
api_key,"<mark>api_key</mark> = ipstack()
if <mark>api_key</mark> == """" :
    print(""""Add you ipstack api key to plugins/api.py"""")
    exit()
if gmap() == """" :
    print(""""Add you Google Heatmap api key to plugins/api.py"""")
    exit()",Unique device ID
email,<mark>email</mark> = x+'@'+domain,Account/Individual identifier
name,<mark>name</mark> = self._format_name(<mark>name</mark>),Account/Individual identifier
username,"<mark>username</mark> = config.get(section, 'imap-username')",Account/Individual identifier
password,"<mark>password</mark> = config.get(section, 'imap-password')
if not ssl:
    imap.starttls()
imap.login(username, <mark>password</mark>)",Account/Individual identifier
driver,<mark>driver</mark> = webdriver.Firefox(),Account/Individual identifier
"yr, mt, dy","<mark>yr</mark> = int(year)-int(age)
<mark>mt</mark> = input('Enter the month you were born in: ')
<mark>dy</mark> = input('Enter the date of the month you were born in: ')",Demographics
"m, d, y","<mark>m</mark> = input('Enter your birthmonth(1-12): ')
<mark>d</mark> = input('Enter your date of Birthday (1-31): ')
<mark>y</mark> = int(input('Enter your birthyear: '))",Demographics
age,<mark>age</mark> = input('Enter your age: '),Demographics
gmap3,"<mark>gmap3</mark> = gmplot.GoogleMapPlotter(20.5937, 78.9629, 5)",Demographics
sender,"<mark>sender</mark> = 'from@fromdomain.com'
receivers = ['to@tm.zakx.de']
message = """"""""""""From: From Person <from@fromdomain.com>
To: To Person <to@todomain.com>
Subject: SMTP e-mail test
This is a test e-mail message.
""""""""""""""",Demographics
his,"<mark>his</mark> = h_output.histories
bmk = b_output.bookmarks",Internet traffic
browserhistory,"<mark>browserhistory</mark> = get_browserhistory()
<mark>browserhistory</mark> = {}
cursor.execute(_SQL)
query_result = cursor.fetchall()
<mark>browserhistory</mark>[browser] = query_result",Internet traffic
session_cookie_structure,"def encode(secret_key, <mark>session_cookie_structure</mark>):
    app = MockApp(secret_key)
    <mark>session_cookie_structure</mark> = \
        dict(ast.literal_eval(<mark>session_cookie_structure</mark>))
    si = SecureCookieSessionInterface()
    s = si.get_signing_serializer(app)

    return s.dumps(<mark>session_cookie_structure</mark>)",Internet traffic
session_cookie_value,"def decode(<mark>session_cookie_value</mark>, secret_key=None):
    if secret_key == None:
        compressed = False
        payload = <mark>session_cookie_value</mark>
        if payload.startswith("".""):
            compressed = True
            payload = payload[1:]
        data = payload.split(""."")[0]
    else:
        app = MockApp(secret_key)
        si = SecureCookieSessionInterface()
        s = si.get_signing_serializer(app)
        return s.loads(<mark>session_cookie_value</mark>)",Internet traffic
paypal_mapping_id,"class AccountStatementImport(models.TransientModel):
    _inherit = ""account.statement.import""
    <mark>paypal_mapping_id</mark> = fields.Many2one(
        string=""PayPal mapping"",
        comodel_name=""account.statement.import.paypal.mapping"",
    )",Commercial/Finanacial information
online_bank_statement_provider,"class AccountJournal(models.Model):
    _inherit = ""account.journal""
    <mark>online_bank_statement_provider</mark> = fields.Selection(
        selection=lambda self: self.env[
            ""account.journal""
        ]._selection_online_bank_statement_provider(),
        help=""Select the type of service provider (a model)"",
    )",Commercial/Finanacial information
transaction_id,"<mark>transaction_id</mark> = pp.Word(pp.nums) + pp.Suppress(pp.White())
balance = pp.Combine(
    pp.Word(pp.nums + "","") + ""."" + pp.Word(pp.nums, exact=2) + pp.Optional(""CR"")
)
date_pattern = pp.Word(pp.nums, exact=6)
merchant = pp.restOfLine()",Commercial/Finanacial information
